uniqueID,drugName,condition,review,rating,date,usefulCount,review_length,word_count
4228,Ranitidine,GERD,Changed my life for the better. Finally feel normal again. I was prescribed Ranitidine for gerd.,7,"March 06, 2022",41,96,16
4677,Venlafaxine,Depression,Changed my life for the better. Finally feel normal again. I was prescribed Venlafaxine for depression.,7,"June 13, 2017",17,103,16
801,Lamotrigine,Bipolar Disorder,Works well with minimal side effects. I was prescribed Lamotrigine for bipolar disorder.,8,"January 14, 2020",44,88,13
3672,Famotidine,GERD,This medication has been a lifesaver. I was prescribed Famotidine for gerd.,8,"October 28, 2019",12,75,12
4194,Quetiapine,Bipolar Disorder,Not worth the side effects. Very disappointed. I was prescribed Quetiapine for bipolar disorder.,1,"May 06, 2015",18,96,14
2969,Lisinopril,High Blood Pressure,The drowsiness was unbearable. Could not function normally. I was prescribed Lisinopril for high blood pressure.,1,"July 09, 2017",79,112,16
4794,Mirena,Birth Control,No major complaints but no major improvements either. I was prescribed Mirena for birth control.,6,"April 14, 2017",54,96,15
4369,Methotrexate,Arthritis,Results are hit or miss. Some days are better than others. I was prescribed Methotrexate for arthritis.,4,"August 07, 2015",181,103,17
2777,NuvaRing,Birth Control,Been on this for a while. Seems to help somewhat. I was prescribed NuvaRing for birth control.,5,"October 12, 2021",64,94,17
2971,Alprazolam,Anxiety,The drowsiness was unbearable. Could not function normally. I was prescribed Alprazolam for anxiety.,1,"August 05, 2020",117,100,14
3868,Atorvastatin,High Cholesterol,Highly recommend to anyone dealing with this condition. I was prescribed Atorvastatin for high cholesterol.,10,"June 07, 2016",152,107,15
1744,Phentermine,Obesity,Highly recommend to anyone dealing with this condition. I was prescribed Phentermine for obesity.,8,"October 07, 2019",105,97,14
3949,Meloxicam,Arthritis,No major complaints but no major improvements either. I was prescribed Meloxicam for arthritis.,5,"December 02, 2016",51,95,14
3803,Trazodone,Insomnia,The drowsiness was unbearable. Could not function normally. I was prescribed Trazodone for insomnia.,2,"February 26, 2021",34,100,14
2025,Tretinoin,Acne,Caused severe headaches and nausea. I was prescribed Tretinoin for acne.,1,"September 30, 2020",27,72,11
2275,Simvastatin,High Cholesterol,Made my condition worse. Would not recommend. I was prescribed Simvastatin for high cholesterol.,3,"May 16, 2020",23,96,14
100,Montelukast,Asthma,Been on this for a while. Seems to help somewhat. I was prescribed Montelukast for asthma.,5,"June 05, 2016",49,90,16
4922,Contrave,Obesity,Results are hit or miss. Some days are better than others. I was prescribed Contrave for obesity.,6,"January 05, 2021",29,97,17
3408,Lisinopril,High Blood Pressure,Been on this for a while. Seems to help somewhat. I was prescribed Lisinopril for high blood pressure.,6,"July 24, 2015",2,102,18
4246,Doxycycline,Pneumonia,Initially helped but stopped working after a month. I was prescribed Doxycycline for pneumonia.,2,"September 06, 2020",97,95,14
4620,Ibuprofen,Pain,Some improvement but still dealing with symptoms. I was prescribed Ibuprofen for pain.,5,"June 13, 2018",18,86,13
4917,Mirena,Birth Control,Works well with minimal side effects. I was prescribed Mirena for birth control.,8,"March 07, 2020",3,80,13
192,Glipizide,Diabetes Type 2,Side effects were mild and temporary. The benefits far outweigh them. I was prescribed Glipizide for diabetes type 2.,8,"October 26, 2020",166,117,19
4697,Gabapentin,Pain,Great results overall. I was prescribed Gabapentin for pain.,7,"February 08, 2015",34,60,9
1785,Azithromycin,Pneumonia,No major complaints but no major improvements either. I was prescribed Azithromycin for pneumonia.,6,"July 26, 2015",112,98,14
1533,Methotrexate,Arthritis,Been on this for a while. Seems to help somewhat. I was prescribed Methotrexate for arthritis.,6,"March 11, 2022",49,94,16
2835,Armour Thyroid,Hypothyroidism,It works okay but nothing spectacular. I was prescribed Armour Thyroid for hypothyroidism.,5,"July 25, 2021",98,90,13
4445,Liothyronine,Hypothyroidism,Initially helped but stopped working after a month. I was prescribed Liothyronine for hypothyroidism.,1,"June 30, 2015",199,101,14
4916,Fluoxetine,Depression,Average medication. Does what it is supposed to do. I was prescribed Fluoxetine for depression.,6,"December 06, 2020",138,95,15
1599,Lithium,Bipolar Disorder,No major complaints but no major improvements either. I was prescribed Lithium for bipolar disorder.,6,"November 22, 2016",16,100,15
