uniqueID	drugName	condition	review	rating	date	usefulCount
1	Buspirone	Anxiety	My doctor recommended this and it really helped. I was prescribed Buspirone for anxiety.	7	September 30, 2017	57
2	Ibuprofen	Pain	No major complaints but no major improvements either. I was prescribed Ibuprofen for pain.	5	February 11, 2021	22
3	Valproate	Bipolar Disorder	This medication has been a lifesaver. I was prescribed Valproate for bipolar disorder.	7	May 03, 2015	23
4	Ortho Tri-Cyclen	Birth Control	Highly recommend to anyone dealing with this condition. I was prescribed Ortho Tri-Cyclen for birth control.	9	October 01, 2021	6
5	Ritalin	ADHD	No major complaints but no major improvements either. I was prescribed Ritalin for adhd.	5	April 15, 2022	179
6	Strattera	ADHD	Some improvement but still dealing with symptoms. I was prescribed Strattera for adhd.	5	January 14, 2020	150
7	Ambien	Insomnia	I noticed improvement within the first week. I was prescribed Ambien for insomnia.	9	October 30, 2022	108
8	Meloxicam	Arthritis	I noticed improvement within the first week. I was prescribed Meloxicam for arthritis.	7	May 31, 2017	195
9	Methotrexate	Arthritis	It works okay but nothing spectacular. I was prescribed Methotrexate for arthritis.	4	April 06, 2019	24
10	Rizatriptan	Migraine	Changed my life for the better. Finally feel normal again. I was prescribed Rizatriptan for migraine.	7	December 19, 2017	11
11	Levothyroxine	Hypothyroidism	Results are hit or miss. Some days are better than others. I was prescribed Levothyroxine for hypothyroidism.	4	November 19, 2015	141
12	Fexofenadine	Allergies	Been on this for a while. Seems to help somewhat. I was prescribed Fexofenadine for allergies.	4	February 26, 2017	180
13	Sertraline	Depression	No major complaints but no major improvements either. I was prescribed Sertraline for depression.	6	July 22, 2017	197
14	Cetirizine	Allergies	Too many side effects. Had to switch medications. I was prescribed Cetirizine for allergies.	1	February 18, 2016	97
15	Doxepin	Insomnia	The drowsiness was unbearable. Could not function normally. I was prescribed Doxepin for insomnia.	1	October 28, 2016	94
16	Topiramate	Migraine	No major complaints but no major improvements either. I was prescribed Topiramate for migraine.	4	December 29, 2017	179
17	Venlafaxine	Depression	Made my condition worse. Would not recommend. I was prescribed Venlafaxine for depression.	3	December 27, 2020	186
18	Pantoprazole	GERD	Results are hit or miss. Some days are better than others. I was prescribed Pantoprazole for gerd.	6	April 04, 2019	69
19	Ritalin	ADHD	The drowsiness was unbearable. Could not function normally. I was prescribed Ritalin for adhd.	3	August 18, 2015	58
20	Januvia	Diabetes Type 2	Caused severe headaches and nausea. I was prescribed Januvia for diabetes type 2.	2	January 01, 2018	16
21	NuvaRing	Birth Control	Great results overall. I was prescribed NuvaRing for birth control.	9	May 08, 2022	127
22	Budesonide	Asthma	Some improvement but still dealing with symptoms. I was prescribed Budesonide for asthma.	5	December 20, 2017	35
23	Ranitidine	GERD	No major complaints but no major improvements either. I was prescribed Ranitidine for gerd.	6	July 22, 2021	109
24	Valproate	Bipolar Disorder	The drowsiness was unbearable. Could not function normally. I was prescribed Valproate for bipolar disorder.	2	June 17, 2017	35
25	Saxenda	Obesity	It works okay but nothing spectacular. I was prescribed Saxenda for obesity.	4	July 12, 2015	28
26	Naproxen	Pain	No major complaints but no major improvements either. I was prescribed Naproxen for pain.	6	September 26, 2019	152
27	Bupropion	Depression	Caused severe headaches and nausea. I was prescribed Bupropion for depression.	3	September 06, 2021	119
28	Contrave	Obesity	Been on this for a while. Seems to help somewhat. I was prescribed Contrave for obesity.	6	February 17, 2015	174
29	Hydroxyzine	Anxiety	No major complaints but no major improvements either. I was prescribed Hydroxyzine for anxiety.	4	October 25, 2018	28
30	Montelukast	Allergies	Some improvement but still dealing with symptoms. I was prescribed Montelukast for allergies.	5	February 02, 2020	0
31	Melatonin	Insomnia	Been on this for a while. Seems to help somewhat. I was prescribed Melatonin for insomnia.	4	March 11, 2016	160
32	Loratadine	Allergies	I noticed improvement within the first week. I was prescribed Loratadine for allergies.	10	March 12, 2019	195
33	Tretinoin	Acne	Been on this for a while. Seems to help somewhat. I was prescribed Tretinoin for acne.	5	August 20, 2018	125
34	Lisinopril	High Blood Pressure	The drowsiness was unbearable. Could not function normally. I was prescribed Lisinopril for high blood pressure.	3	June 13, 2018	61
35	Glipizide	Diabetes Type 2	Changed my life for the better. Finally feel normal again. I was prescribed Glipizide for diabetes type 2.	8	November 19, 2015	21
36	Nitrofurantoin	UTI	Not worth the side effects. Very disappointed. I was prescribed Nitrofurantoin for uti.	2	May 30, 2016	32
37	Trimethoprim	UTI	Average medication. Does what it is supposed to do. I was prescribed Trimethoprim for uti.	6	December 01, 2020	155
38	Rosuvastatin	High Cholesterol	Not worth the side effects. Very disappointed. I was prescribed Rosuvastatin for high cholesterol.	1	March 09, 2023	176
39	NuvaRing	Birth Control	Caused severe headaches and nausea. I was prescribed NuvaRing for birth control.	2	July 14, 2022	166
40	Propranolol	Migraine	Been on this for a while. Seems to help somewhat. I was prescribed Propranolol for migraine.	6	January 24, 2020	30
41	Pantoprazole	GERD	Works well with minimal side effects. I was prescribed Pantoprazole for gerd.	7	October 16, 2018	5
42	Lamotrigine	Bipolar Disorder	Been on this for a while. Seems to help somewhat. I was prescribed Lamotrigine for bipolar disorder.	6	June 21, 2017	1
43	Sertraline	Depression	Some improvement but still dealing with symptoms. I was prescribed Sertraline for depression.	5	October 04, 2015	8
44	Methotrexate	Arthritis	Been on this for a while. Seems to help somewhat. I was prescribed Methotrexate for arthritis.	5	September 01, 2017	71
45	Trimethoprim	UTI	Not worth the side effects. Very disappointed. I was prescribed Trimethoprim for uti.	2	June 25, 2016	185
46	Valproate	Bipolar Disorder	Some improvement but still dealing with symptoms. I was prescribed Valproate for bipolar disorder.	4	April 21, 2020	104
47	Yaz	Birth Control	It works okay but nothing spectacular. I was prescribed Yaz for birth control.	4	May 23, 2022	110
48	Propranolol	Migraine	Been taking for months with consistent positive results. I was prescribed Propranolol for migraine.	8	March 27, 2020	186
49	Metformin	Diabetes Type 2	It works okay but nothing spectacular. I was prescribed Metformin for diabetes type 2.	6	July 08, 2019	186
50	Methotrexate	Arthritis	Too many side effects. Had to switch medications. I was prescribed Methotrexate for arthritis.	1	February 23, 2017	48
51	Strattera	ADHD	Some improvement but still dealing with symptoms. I was prescribed Strattera for adhd.	6	September 25, 2019	46
52	Doxepin	Insomnia	Some improvement but still dealing with symptoms. I was prescribed Doxepin for insomnia.	5	November 05, 2015	113
53	Adderall	ADHD	It works okay but nothing spectacular. I was prescribed Adderall for adhd.	4	April 25, 2022	138
54	Lisinopril	High Blood Pressure	Great results overall. I was prescribed Lisinopril for high blood pressure.	7	November 12, 2016	104
55	Amoxicillin	UTI	Great results overall. I was prescribed Amoxicillin for uti.	8	July 01, 2019	15
56	Benzoyl Peroxide	Acne	This medication has been a lifesaver. I was prescribed Benzoyl Peroxide for acne.	8	May 19, 2019	67
57	Synthroid	Hypothyroidism	Caused severe headaches and nausea. I was prescribed Synthroid for hypothyroidism.	3	October 24, 2022	187
58	Strattera	ADHD	Some improvement but still dealing with symptoms. I was prescribed Strattera for adhd.	5	February 16, 2017	75
59	Yaz	Birth Control	Been on this for a while. Seems to help somewhat. I was prescribed Yaz for birth control.	6	January 29, 2021	15
60	Methotrexate	Arthritis	This medication has been a lifesaver. I was prescribed Methotrexate for arthritis.	8	July 20, 2021	122
61	Orlistat	Obesity	It works okay but nothing spectacular. I was prescribed Orlistat for obesity.	4	September 11, 2020	20
62	Tretinoin	Acne	Been on this for a while. Seems to help somewhat. I was prescribed Tretinoin for acne.	5	October 06, 2015	172
63	Famotidine	GERD	Did not work for me at all. Waste of money. I was prescribed Famotidine for gerd.	3	May 22, 2021	63
64	Lithium	Bipolar Disorder	Gained significant weight while on this medication. I was prescribed Lithium for bipolar disorder.	3	December 02, 2015	107
65	Quetiapine	Bipolar Disorder	My doctor recommended this and it really helped. I was prescribed Quetiapine for bipolar disorder.	8	April 16, 2017	171
66	Humira	Arthritis	My doctor recommended this and it really helped. I was prescribed Humira for arthritis.	9	June 10, 2019	33
67	Montelukast	Allergies	Average medication. Does what it is supposed to do. I was prescribed Montelukast for allergies.	5	October 25, 2015	2
68	Levothyroxine	Hypothyroidism	Works well with minimal side effects. I was prescribed Levothyroxine for hypothyroidism.	8	January 11, 2021	54
69	Contrave	Obesity	Some improvement but still dealing with symptoms. I was prescribed Contrave for obesity.	6	November 30, 2018	17
70	Ranitidine	GERD	Average medication. Does what it is supposed to do. I was prescribed Ranitidine for gerd.	4	October 08, 2016	112
71	Vyvanse	ADHD	Been on this for a while. Seems to help somewhat. I was prescribed Vyvanse for adhd.	6	May 02, 2022	135
72	Losartan	High Blood Pressure	Works well with minimal side effects. I was prescribed Losartan for high blood pressure.	9	July 04, 2016	67
